disease_name,trigger_symptom,red_flag_weight,prior_probability_div2,Q1_onset,Q2_duration,Q3_severity_scale,Q4_frequency,Q5_course,Q6_modifiers,Q7_associated_symptoms,Q8_past_history,Q9_localization,Q10_assoc_swelling_redness_warmth,priority
Whooping Cough,vomiting after cough,0.7,0.00135,"Did the vomiting after cough start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing vomiting after cough? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the vomiting after cough? [answer_type: numeric_scale | range: 1-10]","Is the vomiting after cough constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the vomiting after cough getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the vomiting after cough better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with vomiting after cough? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to vomiting after cough? [answer_type: yes_no | options: yes, no]","Is the vomiting after cough localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the vomiting after cough? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.742857143
Whooping Cough,runny nose,0.5,0.00135,"Did the runny nose start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing runny nose? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the runny nose? [answer_type: numeric_scale | range: 1-10]","Is the runny nose constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the runny nose getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the runny nose better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with runny nose? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to runny nose? [answer_type: yes_no | options: yes, no]","Is the runny nose localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the runny nose? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.614285714
Whooping Cough,mild fever,0.2,0.00135,"Did the mild fever start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing mild fever? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the mild fever? [answer_type: numeric_scale | range: 1-10]","Is the mild fever constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the mild fever getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the mild fever better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with mild fever? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to mild fever? [answer_type: yes_no | options: yes, no]","Is the mild fever localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the mild fever? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.485714286
Whooping Cough,fatigue,0.5,0.00135,"Did the fatigue start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing fatigue? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the fatigue? [answer_type: numeric_scale | range: 1-10]","Is the fatigue constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the fatigue getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the fatigue better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with fatigue? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to fatigue? [answer_type: yes_no | options: yes, no]","Is the fatigue localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the fatigue? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.357142857
Whooping Cough,nasal congestion,0.5,0.00135,"Did the nasal congestion start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing nasal congestion? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the nasal congestion? [answer_type: numeric_scale | range: 1-10]","Is the nasal congestion constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the nasal congestion getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the nasal congestion better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with nasal congestion? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to nasal congestion? [answer_type: yes_no | options: yes, no]","Is the nasal congestion localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the nasal congestion? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.228571429
Whooping Cough,watery eyes,0.5,0.00135,"Did the watery eyes start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing watery eyes? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the watery eyes? [answer_type: numeric_scale | range: 1-10]","Is the watery eyes constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the watery eyes getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the watery eyes better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with watery eyes? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to watery eyes? [answer_type: yes_no | options: yes, no]","Is the watery eyes localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the watery eyes? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.1
Wegener's Granulomatosis,nasal discharge,0.5,0.0009,"Did the nasal discharge start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing nasal discharge? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the nasal discharge? [answer_type: numeric_scale | range: 1-10]","Is the nasal discharge constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the nasal discharge getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the nasal discharge better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with nasal discharge? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to nasal discharge? [answer_type: yes_no | options: yes, no]","Is the nasal discharge localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the nasal discharge? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",1
Wegener's Granulomatosis,sinus pain,0.5,0.0009,"Did the sinus pain start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing sinus pain? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the sinus pain? [answer_type: numeric_scale | range: 1-10]","Is the sinus pain constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the sinus pain getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the sinus pain better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with sinus pain? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to sinus pain? [answer_type: yes_no | options: yes, no]","Is the sinus pain localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the sinus pain? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.871428571
Wegener's Granulomatosis,ear pain,0.6,0.0009,"Did the ear pain start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing ear pain? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the ear pain? [answer_type: numeric_scale | range: 1-10]","Is the ear pain constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the ear pain getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the ear pain better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with ear pain? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to ear pain? [answer_type: yes_no | options: yes, no]","Is the ear pain localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the ear pain? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.742857143
Wegener's Granulomatosis,cough,0.3,0.0009,"Did the cough start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing cough? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the cough? [answer_type: numeric_scale | range: 1-10]","Is the cough constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the cough getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the cough better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with cough? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to cough? [answer_type: yes_no | options: yes, no]","Is the cough localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the cough? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.614285714
Wegener's Granulomatosis,shortness of breath,0.9,0.0009,"Did the shortness of breath start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing shortness of breath? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the shortness of breath? [answer_type: numeric_scale | range: 1-10]","Is the shortness of breath constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the shortness of breath getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the shortness of breath better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with shortness of breath? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to shortness of breath? [answer_type: yes_no | options: yes, no]","Is the shortness of breath localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the shortness of breath? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.485714286
Wegener's Granulomatosis,blood in urine,0.8,0.0009,"Did the blood in urine start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing blood in urine? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the blood in urine? [answer_type: numeric_scale | range: 1-10]","Is the blood in urine constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the blood in urine getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the blood in urine better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with blood in urine? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to blood in urine? [answer_type: yes_no | options: yes, no]","Is the blood in urine localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the blood in urine? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.357142857
Wegener's Granulomatosis,joint pain,0.6,0.0009,"Did the joint pain start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing joint pain? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the joint pain? [answer_type: numeric_scale | range: 1-10]","Is the joint pain constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the joint pain getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the joint pain better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with joint pain? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to joint pain? [answer_type: yes_no | options: yes, no]","Is the joint pain localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the joint pain? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.228571429
Wegener's Granulomatosis,fever,0.5,0.0009,"Did the fever start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing fever? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the fever? [answer_type: numeric_scale | range: 1-10]","Is the fever constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the fever getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the fever better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with fever? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to fever? [answer_type: yes_no | options: yes, no]","Is the fever localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the fever? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.1
Von Willebrand Disease,heavy menstrual bleeding,0.8,0.00045,"Did the heavy menstrual bleeding start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing heavy menstrual bleeding? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the heavy menstrual bleeding? [answer_type: numeric_scale | range: 1-10]","Is the heavy menstrual bleeding constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the heavy menstrual bleeding getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the heavy menstrual bleeding better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with heavy menstrual bleeding? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to heavy menstrual bleeding? [answer_type: yes_no | options: yes, no]","Is the heavy menstrual bleeding localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the heavy menstrual bleeding? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",1
Von Willebrand Disease,easy bruising,0.7,0.00045,"Did the easy bruising start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing easy bruising? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the easy bruising? [answer_type: numeric_scale | range: 1-10]","Is the easy bruising constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the easy bruising getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the easy bruising better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with easy bruising? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to easy bruising? [answer_type: yes_no | options: yes, no]","Is the easy bruising localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the easy bruising? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.871428571
Von Willebrand Disease,nosebleeds,0.7,0.00045,"Did the nosebleeds start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing nosebleeds? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the nosebleeds? [answer_type: numeric_scale | range: 1-10]","Is the nosebleeds constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the nosebleeds getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the nosebleeds better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with nosebleeds? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to nosebleeds? [answer_type: yes_no | options: yes, no]","Is the nosebleeds localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the nosebleeds? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.742857143
Von Willebrand Disease,gum bleeding,0.7,0.00045,"Did the gum bleeding start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing gum bleeding? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the gum bleeding? [answer_type: numeric_scale | range: 1-10]","Is the gum bleeding constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the gum bleeding getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the gum bleeding better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with gum bleeding? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to gum bleeding? [answer_type: yes_no | options: yes, no]","Is the gum bleeding localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the gum bleeding? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.614285714
Von Willebrand Disease,prolonged bleeding,0.8,0.00045,"Did the prolonged bleeding start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing prolonged bleeding? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the prolonged bleeding? [answer_type: numeric_scale | range: 1-10]","Is the prolonged bleeding constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the prolonged bleeding getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the prolonged bleeding better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with prolonged bleeding? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to prolonged bleeding? [answer_type: yes_no | options: yes, no]","Is the prolonged bleeding localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the prolonged bleeding? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.485714286
Von Willebrand Disease,blood in stool,0.8,0.00045,"Did the blood in stool start suddenly or gradually? [answer_type: categorical | options: sudden, gradual]","How long have you been experiencing blood in stool? [answer_type: categorical | options: <1 day, 1-3 days, 4-7 days, 1-4 weeks, >1 month]","On a scale of 1–10, how severe is the blood in stool? [answer_type: numeric_scale | range: 1-10]","Is the blood in stool constant or intermittent? [answer_type: categorical | options: constant, intermittent]","Is the blood in stool getting worse, stable, or improving? [answer_type: categorical | options: worsening, stable, improving]",Does anything make the blood in stool better or worse? [answer_type: free_text],"Are you experiencing other symptoms along with blood in stool? [answer_type: yes_no_plus | options: yes, no]","Do you have past medical history related to blood in stool? [answer_type: yes_no | options: yes, no]","Is the blood in stool localized or spreading? [answer_type: categorical | options: localized, spreading]","Is there swelling, redness, or warmth with the blood in stool? [answer_type: categorical_multi | options: swelling, redness, warmth, none]",0.357142857
